iter	Passed	Remaining
442	1211	1523
443	1212	1518
444	1213	1514
445	1215	1509
446	1216	1504
447	1217	1499
448	1218	1494
449	1219	1490
450	1220	1486
451	1222	1481
452	1223	1477
453	1225	1473
454	1227	1469
455	1228	1465
456	1229	1460
457	1230	1456
458	1232	1452
459	1234	1448
460	1235	1444
461	1237	1441
462	1239	1437
463	1240	1432
464	1241	1428
465	1243	1425
466	1245	1421
467	1247	1417
468	1248	1413
469	1250	1409
470	1251	1406
471	1253	1402
472	1255	1398
473	1257	1395
474	1258	1390
475	1259	1386
476	1261	1383
477	1262	1379
478	1264	1374
479	1265	1371
480	1267	1367
481	1269	1364
482	1271	1360
483	1272	1356
484	1274	1352
485	1275	1349
486	1277	1345
487	1278	1341
488	1279	1337
489	1281	1333
490	1282	1329
491	1284	1326
492	1286	1322
493	1287	1318
494	1288	1314
495	1290	1311
496	1291	1306
497	1292	1303
498	1293	1299
499	1295	1295
500	1296	1291
501	1298	1288
502	1301	1285
503	1302	1282
504	1304	1278
505	1306	1275
506	1307	1271
507	1308	1267
508	1310	1264
509	1312	1261
510	1314	1257
511	1316	1254
512	1318	1251
513	1319	1247
514	1321	1244
515	1322	1240
516	1323	1236
517	1324	1232
518	1326	1228
519	1327	1225
520	1328	1221
521	1330	1217
522	1331	1214
523	1333	1211
524	1334	1207
525	1335	1203
526	1337	1200
527	1338	1196
528	1339	1192
529	1341	1189
530	1342	1185
531	1343	1182
532	1345	1178
533	1346	1175
534	1348	1171
535	1349	1168
536	1350	1164
537	1352	1161
538	1353	1158
539	1355	1154
540	1356	1150
541	1357	1147
542	1359	1143
543	1360	1140
544	1361	1136
545	1363	1133
546	1364	1130
547	1366	1126
548	1367	1123
549	1368	1119
550	1369	1116
551	1371	1112
552	1372	1109
553	1373	1105
554	1375	1102
555	1376	1099
556	1377	1095
557	1379	1092
558	1380	1089
559	1382	1085
560	1383	1082
561	1384	1079
562	1386	1075
563	1387	1072
564	1389	1069
565	1390	1066
566	1391	1062
567	1393	1059
568	1394	1056
569	1396	1053
570	1397	1050
571	1399	1046
572	1400	1043
573	1401	1040
574	1402	1036
575	1404	1033
576	1405	1030
577	1406	1027
578	1407	1023
579	1409	1020
580	1410	1017
581	1411	1013
582	1412	1010
583	1413	1007
584	1414	1003
585	1415	1000
586	1416	996
587	1418	993
588	1419	990
589	1419	986
590	1420	983
591	1422	980
592	1423	976
593	1424	973
594	1425	970
595	1426	967
596	1428	964
597	1429	960
598	1430	957
599	1431	954
600	1432	951
601	1433	948
602	1435	944
603	1436	941
604	1437	938
605	1438	935
606	1439	932
607	1440	928
608	1441	925
609	1442	922
610	1443	919
611	1445	916
612	1445	912
613	1447	909
614	1448	906
615	1449	903
616	1450	900
617	1452	897
618	1453	894
619	1455	892
620	1457	889
621	1458	886
622	1459	883
623	1461	880
