iter	Logloss
0	0.6880829962
1	0.6817479546
2	0.676514544
3	0.6711865995
4	0.6665945593
5	0.6625146227
6	0.6589023407
7	0.6534406473
8	0.649257012
9	0.6455273904
10	0.6416720234
11	0.6374859999
12	0.6338510325
13	0.6295400006
14	0.6262052535
15	0.6230456956
16	0.6186220538
17	0.6140140029
18	0.6091441773
19	0.6055349744
20	0.602087107
21	0.5982375255
22	0.5951084153
23	0.5912170687
24	0.5874858257
25	0.5841056938
26	0.5810705647
27	0.5779001659
28	0.5748573503
29	0.5719675228
30	0.5683921462
31	0.5651127954
32	0.562383078
33	0.5588546994
34	0.5563643423
35	0.5537994782
36	0.5498131067
37	0.5460474131
38	0.5433644114
39	0.5400732014
40	0.5376518228
41	0.5343469561
42	0.5316459719
43	0.5294838295
44	0.526911986
45	0.5241361629
46	0.5222263764
47	0.5196942065
48	0.517462198
49	0.5143022312
50	0.5132841007
51	0.5114347173
52	0.5087231545
53	0.5068343596
54	0.505230174
55	0.5038728859
56	0.5013808221
57	0.4995098709
58	0.4975053478
59	0.4950517538
60	0.49323042
61	0.4906916725
62	0.4883350086
63	0.4864897054
64	0.4845641957
65	0.4831613954
66	0.481463718
67	0.4799266876
68	0.4783472933
69	0.4770640331
70	0.4749933166
71	0.4731624277
72	0.4707971817
73	0.4692979226
74	0.4680272468
75	0.4666144777
76	0.4655847067
77	0.4642954595
78	0.4627733243
79	0.4610906574
80	0.4592742663
81	0.4576538916
82	0.4558511798
83	0.4549602554
84	0.4529903386
85	0.4519618052
86	0.4506272778
87	0.4488225815
88	0.4475519313
89	0.4462496177
90	0.4449800462
91	0.4437369736
92	0.4425653315
93	0.4413019153
94	0.4401016821
95	0.4386885984
96	0.4375417684
97	0.4366192459
98	0.4357384716
99	0.4345125143
100	0.4331728844
101	0.4319467215
102	0.4305253553
103	0.4297421724
104	0.428712826
105	0.4274749426
106	0.4266584758
107	0.4257889308
108	0.4244124292
109	0.4230910624
110	0.4223625297
111	0.4212659402
112	0.4204940841
113	0.4194850926
114	0.4182228984
115	0.4173152993
116	0.4165438288
117	0.4153704149
118	0.4144071328
119	0.4137894993
120	0.4129574975
121	0.4114715352
122	0.4105998323
123	0.4098072385
124	0.4091212465
125	0.4082212737
126	0.4074859239
127	0.4066143422
128	0.4057584354
129	0.4047669837
130	0.4035961489
131	0.4032352857
132	0.4020686035
133	0.4005725037
134	0.3996438139
135	0.3984660232
136	0.3974160669
137	0.3967043412
138	0.3959429321
139	0.3948845144
140	0.393985525
141	0.3933866203
142	0.3923772268
143	0.3913498447
144	0.3906211189
145	0.390016797
146	0.3891397511
147	0.3882006931
148	0.3872712681
149	0.3867357044
150	0.3859013227
151	0.3852221357
152	0.3846336763
153	0.3837575304
154	0.3831101494
155	0.382224929
156	0.381612457
157	0.3807563897
158	0.3800721771
159	0.3795165834
160	0.3790904177
161	0.3783948394
162	0.3777541055
163	0.3769182997
164	0.3762429735
165	0.3757062887
166	0.3749714446
167	0.3741226116
168	0.3735245797
169	0.3726966409
170	0.3719296066
171	0.3712510521
172	0.3707569343
173	0.3701489275
174	0.369623607
175	0.368831941
176	0.3680729869
177	0.3675878496
178	0.3671604458
179	0.3666094833
180	0.3659684655
181	0.365020417
182	0.3636249187
183	0.3632487231
184	0.3628793101
185	0.3623573666
186	0.3617754576
187	0.3610132647
188	0.36057291
189	0.3599499439
190	0.3594031061
191	0.3588352593
192	0.3582229324
193	0.357223326
194	0.356417579
195	0.3558994023
196	0.355263934
197	0.3545863058
198	0.3539433244
